,Clothing ID,Age,Title,Rating,Division Name
0,767,33,,satisfied,Initmates
1,1080,34,,very satisfied,General
2,1077,60,Some major design flaws,neutral,General
3,1049,50,My favorite buy!,very satisfied,General Petite
4,847,47,Flattering shirt,very satisfied,General
5,1080,49,Not for the very petite,unsatisfied,General
6,858,39,Cagrcoal shimmer fun,very satisfied,General Petite
7,858,39,"Shimmer, surprisingly goes with lots",satisfied,General Petite
8,1077,24,Flattering,very satisfied,General
9,1077,34,Such a fun dress!,very satisfied,General
10,1077,53,Dress looks like it's made of cheap material,neutral,General
11,1095,39,,very satisfied,General Petite
12,1095,53,Perfect!!!,very satisfied,General Petite
13,767,44,Runs big,very satisfied,Initmates
14,1077,50,Pretty party dress with some issues,neutral,General
15,1065,47,"Nice, but not for my body",satisfied,General
16,1065,34,"You need to be at least average height, or taller",neutral,General
17,853,41,Looks great with white pants,very satisfied,General
18,1120,32,Super cute and cozy,very satisfied,General
19,1077,47,Stylish and comfortable,very satisfied,General
20,847,33,"Cute, crisp shirt",satisfied,General
21,1080,55,I'm torn!,satisfied,General
22,1077,31,Not what it looks like,unsatisfied,General
23,1077,34,"Like it, but don't love it.",neutral,General
24,847,55,Versatile,very satisfied,General
25,697,31,Falls flat,neutral,Initmates
26,949,33,Huge disappointment,unsatisfied,General
27,1003,31,"Loved, but returned",satisfied,General
28,684,53,Great shirt!!!,very satisfied,Initmates
29,4,28,Great layering piece,very satisfied,General
30,1060,33,,very satisfied,General Petite
31,1060,46,Cuter in oerson!,very satisfied,General Petite
32,1060,21,Love these pants,very satisfied,General Petite
33,949,36,Mehh,unsatisfied,General
34,697,39,Love this dress!,very satisfied,Initmates
35,1060,65,Lovely!,satisfied,General Petite
36,1002,29,,satisfied,General
37,949,38,Beautifully cut lightweight coat,very satisfied,General
38,684,36,,very satisfied,Initmates
39,862,59,,very satisfied,General
40,862,47,,satisfied,General
41,862,40,,very satisfied,General
42,910,23,Soft & lovely,very satisfied,General
43,89,67,Some things you should know...,satisfied,Initmates
44,862,48,Beautiful!,very satisfied,General
45,862,43,Love the two tone design,satisfied,General
46,862,40,,very satisfied,General
47,823,52,,very satisfied,General
48,910,56,Love the color!,very satisfied,General
49,862,33,Love the embroidery!,very satisfied,General
50,862,46,Cute for fall,satisfied,General
51,862,41,Love,very satisfied,General
52,1104,39,,neutral,General
53,862,39,Flattering and comfortable,very satisfied,General
54,862,66,Cute top,satisfied,General
55,862,61,Soft and cute as can be!,very satisfied,General
56,368,33,,unsatisfied,Initmates
57,862,31,"Boring front, great back",neutral,General
58,1095,36,,satisfied,General Petite
59,368,52,Soft and comfortable,satisfied,Initmates
60,1095,41,Gorgeous dress!,very satisfied,General Petite
61,368,36,Itchy tags,very unsatisfied,Initmates
62,862,28,Must have,very satisfied,General
63,862,57,Cute top! love the brand,very satisfied,General
64,862,43,Love this top,very satisfied,General
65,862,58,,satisfied,General
66,862,60,Super cute and unique top,satisfied,General
67,862,40,Beautiful top,very satisfied,General
68,862,37,I wanted to love this top...,unsatisfied,General
69,1078,56,Great summer fabric!,neutral,General Petite
70,845,38,"Cute, but massive sweep",satisfied,General Petite
71,822,36,Short and boxy,unsatisfied,General
72,850,27,Beautiful design,very satisfied,General
73,866,47,,satisfied,General Petite
74,1081,59,,very satisfied,General Petite
75,845,48,Very very cute but a lot of fabric,very satisfied,General Petite
76,1082,31,Runs large in top and waist,satisfied,General
77,850,28,Zipper broke,unsatisfied,General Petite
78,836,47,Obsessed,very satisfied,General
79,1081,62,So cute...but dry clean?!,satisfied,General Petite
80,1072,68,Elegant classic dress,very satisfied,General
81,863,61,,very satisfied,General Petite
82,1133,33,Cute parka!,very satisfied,General
83,822,68,Just lovely,very satisfied,General
84,861,37,Casual & unique tee,neutral,General Petite
85,866,58,,very unsatisfied,General Petite
86,850,39,Neutral blue,satisfied,General Petite
87,1081,39,True to size to large,satisfied,General Petite
88,845,38,Huge,unsatisfied,General Petite
89,836,24,"Pretty, but not for me...",satisfied,General
90,1078,51,Sweet flattering dress,satisfied,General Petite
91,850,29,,very satisfied,General Petite
92,861,23,,very satisfied,General Petite
93,1081,31,,very satisfied,General
94,850,23,"Beautifully made, but not versatile",satisfied,General Petite
95,863,83,Casual elegance!,very satisfied,General
96,845,44,,very unsatisfied,General Petite
97,861,44,Huge,very unsatisfied,General Petite
98,1133,50,,very satisfied,General
99,861,33,Pernette henley,neutral,General Petite
100,861,39,Comfy,satisfied,General Petite
101,863,40,"Simple, stylish, lovely-runs a bit big",satisfied,General
102,822,69,Stunning lace top,very satisfied,General
103,822,23,Not a fan,unsatisfied,General
104,863,51,,unsatisfied,General
105,836,66,Excited ... but ...,very satisfied,General
106,836,47,Beautiful shirt but runs small!,satisfied,General
107,836,66,Beautiful,satisfied,General
108,836,23,Perfect fall shirt!,very satisfied,General
109,1081,47,,very satisfied,General
110,861,44,Poor quality,very unsatisfied,General Petite
111,1081,44,An almost for me...,neutral,General
112,836,50,"Beautiful, stunning, cozy top!",very satisfied,General
113,1081,61,Cute and comfy,very satisfied,General
114,1082,32,Disappointing quality,unsatisfied,General
115,863,52,Cute tee,satisfied,General
116,1072,51,Very vintage feel,satisfied,General
117,1078,32,,very satisfied,General Petite
118,850,37,Awkward fitting,unsatisfied,General
119,836,54,Cozy casual - perfect for fall,very satisfied,General
120,861,33,The perfect striped t,very satisfied,General Petite
121,966,63,,very satisfied,General
122,1196,29,,very satisfied,General Petite
123,836,24,So beautiful! gorgeous orange color!,very satisfied,General
124,923,50,"Lovely top, not lovely shape",neutral,General
125,1072,34,"Wonderfully made, poorly designed for busty gals",neutral,General
126,1133,71,,satisfied,General
127,1133,30,,very satisfied,General
128,966,52,Cute vest but...,satisfied,General
129,863,28,Great top,very satisfied,General
130,845,62,,satisfied,General Petite
131,1081,39,Just ok,neutral,General
132,861,46,Pernette henley,satisfied,General Petite
133,966,36,Stylish and versatile!,very satisfied,General
134,845,65,You'll smile on a humid summer's day,very satisfied,General Petite
135,861,35,,satisfied,General Petite
136,966,31,A new staple for my wardrobe,satisfied,General
137,836,52,Runs short,satisfied,General
138,126,34,Feminine alternative to your shapeless puffer,satisfied,Initmates
139,1008,31,Love. love. love this skirt!!,very satisfied,General
140,829,36,Pretry top,very satisfied,General
141,828,39,,satisfied,General
142,1126,35,,very satisfied,General
143,1008,51,Great classic,very satisfied,General
144,829,39,"Beautiful, but scratchy",neutral,General
145,828,39,On the fence,neutral,General
146,1008,39,"So pretty, a bit long and bigger than what i read",very satisfied,General
147,1011,47,Cute skirt!,very satisfied,General
148,1008,64,Very pretty,very satisfied,General
149,1008,38,A beautiful skirt!,very satisfied,General
150,1008,36,Gorgeous skirt!,very satisfied,General
151,1008,39,Beautiful,satisfied,General
152,829,53,Not impressed...,neutral,General
153,829,36,Fair,neutral,General
154,829,44,Great colors but....,neutral,General Petite
155,829,48,Beautiful colors,very satisfied,General Petite
156,1008,37,,very satisfied,General
157,523,43,Australian sizing!!,neutral,Initmates
158,829,53,,satisfied,General Petite
159,829,33,Vibrant metallic,satisfied,General Petite
160,1126,39,So sad not mine,satisfied,General
161,829,52,"Scratchy, uncomfortable top",very unsatisfied,General Petite
162,829,64,Yes it's scratchy but it can work out!,satisfied,General Petite
163,1008,52,Classy and cute,very satisfied,General
164,1126,42,So pretty!,satisfied,General
165,829,35,,neutral,General Petite
166,1020,56,Just as pictured,very satisfied,General Petite
167,895,55,Great purchase,very satisfied,General
168,862,40,,very satisfied,General
169,1104,47,Antoher beautiful maeve dress!,very satisfied,General
170,670,36,Fun,very satisfied,Initmates
171,329,46,Comfy and adorable!,very satisfied,Initmates
172,670,66,Beautiful fabric and style,satisfied,Initmates
173,868,51,Great for summer,satisfied,General Petite
174,1020,34,Wonderful but going back,very satisfied,General Petite
175,862,30,"Comfy, casual shirt",satisfied,General
176,895,43,Perfect casual sweater,very satisfied,General
177,895,52,,very satisfied,General
178,1094,35,Not for me,unsatisfied,General Petite
179,895,41,Perfect for warmer climates,very satisfied,General
180,895,39,Need petite,very satisfied,General
181,1020,39,Fun,satisfied,General Petite
182,895,50,Completes so many outfits!,very satisfied,General
183,1020,27,Size up!,satisfied,General Petite
184,895,33,Not as pictured.,unsatisfied,General
185,895,35,"Fits strange, flimsy material",unsatisfied,General
186,1020,34,"Nice color, love the snap buttons",satisfied,General Petite
187,596,41,Modern comfort,very satisfied,General
188,1094,54,"It's gorgeous, but...",satisfied,General Petite
189,1020,41,Runs very small,satisfied,General Petite
190,895,47,Pretty,satisfied,General Petite
191,895,52,Nice but too thin,unsatisfied,General Petite
192,895,46,,very satisfied,General Petite
193,1020,22,,very satisfied,General Petite
194,1098,40,,neutral,General
195,895,62,Lovely and feminine,very satisfied,General Petite
196,862,26,A great piece,very satisfied,General Petite
197,1020,38,Love everything about this skirt,very satisfied,General Petite
198,895,53,Perfect comfy now top!,very satisfied,General
199,1020,49,Poor quality,neutral,General Petite
200,895,43,Huuuuge,neutral,General
201,895,36,,very satisfied,General
202,895,36,Not worth cost,neutral,General
203,895,63,Tunic doesn't look like i am covering up,very satisfied,General
204,828,56,Too big,satisfied,General
205,1020,48,Runs small too bad....,neutral,General Petite
206,862,43,,very satisfied,General
207,1020,44,Skirt dimensions are off,satisfied,General Petite
208,895,40,,very satisfied,General
209,862,44,,very unsatisfied,General
210,895,54,Comfort & style,very satisfied,General
211,1020,72,,satisfied,General Petite
212,1075,52,Classic,satisfied,General
213,1104,47,My new favorite dress,very satisfied,General
214,1020,67,Not as pictured!,very unsatisfied,General Petite
215,1094,39,Autumn fever,very satisfied,General Petite
216,305,46,Very small,unsatisfied,Initmates
217,828,64,Too cute to pass up!,very satisfied,General
218,1094,30,Falling goddess,very satisfied,General Petite
219,828,38,,very satisfied,General
220,895,36,Pretty and comfy,satisfied,General Petite
221,1020,52,Perfect skirt,very satisfied,General Petite
222,895,61,,very satisfied,General Petite
223,647,29,"Easy, comfy & cute",very satisfied,General Petite
224,1025,38,,satisfied,General
225,1025,35,Gorgeous,very satisfied,General
226,815,55,Pretty,very satisfied,General Petite
227,1066,57,Great crop pant,satisfied,General
228,840,55,Cute,satisfied,General
229,1026,39,Why so long?,satisfied,General
230,840,39,"Runs large, bohemian",very satisfied,General
231,1066,46,"Wonderful weight for summer, flattering",very satisfied,General
232,840,37,Light & large,unsatisfied,General
233,1030,29,"Must have, right on trend, but still classic",very satisfied,General
234,840,83,Pretty but runs large!,very satisfied,General
235,1066,29,Comfortable & stylish crop pants,very satisfied,General
236,647,49,Cozy sunday!,very satisfied,General Petite
237,1066,42,Not what i expected,unsatisfied,General
238,872,63,Fun change from the norm,very satisfied,General
239,840,56,,neutral,General
240,1066,55,Perfect for mediterenian summer,satisfied,General
241,647,32,"Loved this, then washed it twice and it fell apart",very unsatisfied,General Petite
242,1066,26,Super flattering,very satisfied,General
243,840,60,,satisfied,General
244,1066,48,Recommend but not for me,neutral,General
245,872,38,Love this!,very satisfied,General
246,1066,49,Cute but small,neutral,General
247,1115,41,Really nice sweater coat,satisfied,General
248,1030,28,,very satisfied,General
249,1018,28,,satisfied,General
250,1026,48,Perfect,very satisfied,General
251,840,32,Very cute top,very satisfied,General
252,1066,29,Super cute pants,very satisfied,General
253,647,32,"Cute, casual dress",very satisfied,General Petite
254,840,28,,very satisfied,General
255,840,51,Runs big!,satisfied,General
256,840,44,Stylish and understated elegant,very satisfied,General
257,1018,43,Pockets!,satisfied,General
258,840,48,Fits like a maternity top,neutral,General
259,824,37,Love this top,very satisfied,General
260,1115,31,Love this coat!,very satisfied,General
261,840,50,Adorable and flattering,very satisfied,General
262,878,47,"Cute, but no go!",neutral,General
263,984,56,Pretty denim jacket,very satisfied,General Petite
264,1104,25,Amazing peach color!,very satisfied,General
265,878,63,,satisfied,General
266,1104,54,Perfection.,very satisfied,General
267,984,28,Nice quality but too short for my tall frame,satisfied,General Petite
268,866,26,"Cute top, but back is more of a jersey material",satisfied,General
269,1104,29,,very satisfied,General
270,868,61,Nice color,neutral,General
271,984,45,Perfect jean jacket,very satisfied,General Petite
272,984,39,Great asset,very satisfied,General Petite
