tiempo_completo,id_personal,mes,mes_id,sku_id,ventas_totales,ingresos_anio_pasado,calificacion_servicio,comentarios_adicionales,fecha_contratacion
si,1,enero,1,1,18,28800,Regular,lento servicial amigable,27/06/2012
si,1,febrero,2,1,6,9600,Excelente,servicial,27/06/2012
si,1,marzo,3,1,16,25600,Excelente,atento,27/06/2012
si,1,abril,4,1,1,1600,Excelente,amable servicial,27/06/2012
si,1,mayo,5,1,6,9600,Excelente,servicial,27/06/2012
si,1,junio,6,1,1,1600,Excelente,atento,27/06/2012
si,1,julio,7,1,16,25600,Excelente,amable servicial,27/06/2012
si,1,agosto,8,1,19,30400,Excelente,servicial,27/06/2012
si,1,septiembre,9,1,1,1600,Excelente,atento,27/06/2012
si,1,enero,1,2,5,8000,Regular,lento,27/06/2012
si,1,febrero,2,2,13,20800,Excelente,amable servicial,27/06/2012
si,1,marzo,3,2,8,12800,Excelente,servicial,27/06/2012
si,1,abril,4,2,0,0,Excelente,atento,27/06/2012
si,1,mayo,5,2,12,19200,Excelente,amable servicial,27/06/2012
si,1,junio,6,2,11,17600,Excelente,servicial,27/06/2012
si,1,julio,7,2,8,12800,Excelente,atento,27/06/2012
si,1,agosto,8,2,20,32000,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,2,16,25600,Excelente,servicial,27/06/2012
si,1,enero,1,3,13,20800,Regular,tarado,27/06/2012
si,1,febrero,2,3,17,27200,Excelente,atento,27/06/2012
si,1,marzo,3,3,13,20800,Excelente,amable servicial,27/06/2012
si,1,abril,4,3,15,24000,Excelente,servicial,27/06/2012
si,1,mayo,5,3,6,9600,Excelente,atento,27/06/2012
si,1,junio,6,3,10,16000,Excelente,amable servicial,27/06/2012
si,1,julio,7,3,7,11200,Excelente,servicial,27/06/2012
si,1,agosto,8,3,1,1600,Excelente,atento,27/06/2012
si,1,septiembre,9,3,8,12800,Excelente,amable servicial,27/06/2012
si,1,enero,1,4,17,27200,Regular,despistado,27/06/2012
si,1,febrero,2,4,10,16000,Excelente,servicial,27/06/2012
si,1,marzo,3,4,9,14400,Excelente,atento,27/06/2012
si,1,abril,4,4,17,27200,Excelente,amable servicial,27/06/2012
si,1,mayo,5,4,0,0,Excelente,servicial,27/06/2012
si,1,junio,6,4,16,25600,Excelente,atento,27/06/2012
si,1,julio,7,4,2,3200,Excelente,amable servicial,27/06/2012
si,1,agosto,8,4,18,28800,Excelente,servicial,27/06/2012
si,1,septiembre,9,4,1,1600,Excelente,atento,27/06/2012
si,1,enero,1,5,18,28800,Regular,despistado tardado,27/06/2012
si,1,febrero,2,5,15,24000,Excelente,amable servicial,27/06/2012
si,1,marzo,3,5,14,22400,Excelente,servicial,27/06/2012
si,1,abril,4,5,12,19200,Excelente,atento,27/06/2012
si,1,mayo,5,5,6,960000,Excelente,amable servicial,27/06/2012
si,1,junio,6,5,19,30400,Excelente,servicial,27/06/2012
si,1,julio,7,5,18,28800,Excelente,atento,27/06/2012
si,1,agosto,8,5,7,11200,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,5,15,24000,Excelente,servicial,27/06/2012
si,1,enero,1,6,10,16000,Regular,lento servicial amigable,27/06/2012
si,1,febrero,2,6,14,22400,Excelente,atento,27/06/2012
si,1,marzo,3,6,15,24000,Excelente,amable servicial,27/06/2012
si,1,abril,4,6,7,11200,Excelente,servicial,27/06/2012
si,1,mayo,5,6,8,12800,Excelente,atento,27/06/2012
si,1,junio,6,6,18,28800,Excelente,amable servicial,27/06/2012
si,1,julio,7,6,14,22400,Excelente,servicial,27/06/2012
si,1,agosto,8,6,4,6400,Excelente,atento,27/06/2012
si,1,septiembre,9,6,5,8000,Excelente,amable servicial,27/06/2012
si,1,enero,1,7,8,12800,Regular,lento,27/06/2012
