Age;Sex;ID;Race;Country;Education;Education-Num;Marital Status;Relationship
39; Male;49084; White; United-States; Bachelors;13.0; Never-married; Not-in-family
50; Male;68553; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
38; Male;143654; White; United-States; HS-grad;9.0; Divorced; Not-in-family
53; Male;41510; Black; United-States; 11th;7.0; Married-civ-spouse; Husband
28; Female;195025; Black; Cuba; Bachelors;13.0; Married-civ-spouse; Wife
37; Female;231557; White; United-States; Masters;14.0; Married-civ-spouse; Wife
49; Female;393526; Black; Jamaica; 9th;5.0; Married-spouse-absent; Not-in-family
52; Male;488425; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
31; Female;7496; White; United-States; Masters;14.0; Never-married; Not-in-family
42; Male;576313; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
37; Male;293735; Black; United-States; Some-college;10.0; Married-civ-spouse; Husband
30; Male;109140; Asian-Pac-Islander; India; Bachelors;13.0; Married-civ-spouse; Husband
23; Female;672660; White; United-States; Bachelors;13.0; Never-married; Own-child
32; Male;1350323; Black; United-States; Assoc-acdm;12.0; Never-married; Not-in-family
40; Male;1291859; Asian-Pac-Islander; ?; Assoc-voc;11.0; Married-civ-spouse; Husband
34; Male;1477302; Amer-Indian-Eskimo; Mexico; 7th-8th;4.0; Married-civ-spouse; Husband
25; Male;900748; White; United-States; HS-grad;9.0; Never-married; Own-child
32; Male;1277190; White; United-States; HS-grad;9.0; Never-married; Unmarried
38; Male;958243; White; United-States; 11th;7.0; Married-civ-spouse; Husband
43; Female;1307088; White; United-States; Masters;14.0; Divorced; Unmarried
40; Male;622218; White; United-States; Doctorate;16.0; Married-civ-spouse; Husband
54; Female;1621743; Black; United-States; HS-grad;9.0; Separated; Unmarried
35; Male;588100; Black; United-States; 9th;5.0; Married-civ-spouse; Husband
43; Male;1927654; White; United-States; 11th;7.0; Married-civ-spouse; Husband
59; Female;2257398; White; United-States; HS-grad;9.0; Divorced; Unmarried
56; Male;264164; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
19; Male;2076871; White; United-States; HS-grad;9.0; Never-married; Own-child
54; Male;1373612; Asian-Pac-Islander; South; Some-college;10.0; Married-civ-spouse; Husband
39; Male;40290; White; United-States; HS-grad;9.0; Divorced; Not-in-family
49; Male;1975285; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
23; Male;2592882; White; United-States; Assoc-acdm;12.0; Never-married; Not-in-family
20; Male;181134; Black; United-States; Some-college;10.0; Never-married; Own-child
45; Male;792283; White; United-States; Bachelors;13.0; Divorced; Own-child
30; Male;1174907; White; United-States; Some-college;10.0; Married-civ-spouse; Own-child
22; Male;70451; Black; United-States; Some-college;10.0; Married-civ-spouse; Husband
48; Male;2308297; White; Puerto-Rico; 11th;7.0; Never-married; Unmarried
21; Male;192189; White; United-States; Some-college;10.0; Never-married; Own-child
19; Female;2629662; White; United-States; HS-grad;9.0; Married-AF-spouse; Wife
31; Male;3834954; White; ?; Some-college;10.0; Married-civ-spouse; Husband
48; Male;2950020; White; United-States; Assoc-acdm;12.0; Married-civ-spouse; Husband
31; Male;1438580; White; United-States; 9th;5.0; Married-civ-spouse; Husband
53; Male;2170492; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
24; Male;516612; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
49; Female;2172490; White; United-States; HS-grad;9.0; Separated; Unmarried
25; Male;3349035; White; United-States; HS-grad;9.0; Never-married; Not-in-family
57; Male;854480; Black; United-States; Bachelors;13.0; Married-civ-spouse; Husband
53; Male;3767065; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
44; Female;4176828; White; United-States; Masters;14.0; Divorced; Unmarried
41; Male;2378448; White; United-States; Assoc-voc;11.0; Married-civ-spouse; Husband
29; Male;1082797; White; United-States; Assoc-voc;11.0; Never-married; Not-in-family
25; Female;3675161; Other; United-States; Some-college;10.0; Married-civ-spouse; Wife
18; Female;587581; White; ?; HS-grad;9.0; Never-married; Own-child
47; Female;4198721; White; Honduras; Prof-school;15.0; Married-civ-spouse; Wife
50; Male;3729325; White; United-States; Bachelors;13.0; Divorced; Not-in-family
47; Male;2078122; White; United-States; HS-grad;9.0; Divorced; Not-in-family
43; Male;3126340; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
46; Male;2247374; White; Mexico; 5th-6th;3.0; Married-civ-spouse; Husband
35; Male;4103064; White; Puerto-Rico; Assoc-voc;11.0; Married-civ-spouse; Husband
41; Male;661130; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
30; Male;4806846; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
30; Male;2349858; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
32; Male;488101; White; ?; 7th-8th;4.0; Married-spouse-absent; Not-in-family
48; Male;347920; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
42; Male;407469; White; United-States; Doctorate;16.0; Married-civ-spouse; Husband
29; Male;4297326; White; United-States; Some-college;10.0; Divorced; Not-in-family
36; Male;701207; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
28; Female;4906679; White; United-States; Some-college;10.0; Divorced; Not-in-family
53; Female;6470610; White; United-States; HS-grad;9.0; Married-civ-spouse; Wife
49; Male;5838816; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
25; Male;1200246; White; United-States; Some-college;10.0; Never-married; Own-child
19; Male;1948374; White; United-States; Some-college;10.0; Never-married; Own-child
31; Female;7081213; Black; United-States; Bachelors;13.0; Separated; Own-child
29; Male;4786028; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
23; Male;1259161; White; United-States; Some-college;10.0; Never-married; Not-in-family
79; Male;5155873; White; United-States; Some-college;10.0; Married-civ-spouse; Other-relative
27; Male;7501036; White; Mexico; HS-grad;9.0; Never-married; Own-child
40; Male;1612577; White; United-States; Assoc-acdm;12.0; Married-civ-spouse; Husband
67; Male;2833118; White; United-States; 10th;6.0; Married-civ-spouse; Husband
18; Female;3700477; White; United-States; 11th;7.0; Never-married; Own-child
31; Male;1743220; White; United-States; 7th-8th;4.0; Married-civ-spouse; Husband
18; Male;5570488; White; United-States; HS-grad;9.0; Never-married; Not-in-family
52; Male;6409114; White; Cuba; Bachelors;13.0; Married-civ-spouse; Husband
46; Female;4549118; White; United-States; HS-grad;9.0; Married-civ-spouse; Wife
59; Male;4454209; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
44; Female;5453954; White; United-States; HS-grad;9.0; Divorced; Not-in-family
53; Female;4525084; White; United-States; HS-grad;9.0; Divorced; Own-child
49; Male;3731639; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
33; Male;92243; White; United-States; Masters;14.0; Married-civ-spouse; Husband
30; Male;6806606; White; United-States; 9th;5.0; Never-married; Not-in-family
43; Female;3971249; White; United-States; Doctorate;16.0; Never-married; Not-in-family
57; Male;5835784; White; United-States; Assoc-voc;11.0; Married-civ-spouse; Husband
37; Female;5354311; White; United-States; Some-college;10.0; Divorced; Unmarried
28; Female;2891555; Black; United-States; Some-college;10.0; Divorced; Unmarried
30; Female;1791056; Asian-Pac-Islander; ?; HS-grad;9.0; Married-civ-spouse; Wife
34; Male;9370686; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
29; Male;1434450; White; United-States; Some-college;10.0; Never-married; Not-in-family
48; Male;3923503; White; United-States; Doctorate;16.0; Married-civ-spouse; Husband
37; Male;8927519; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
48; Female;160451; White; England; Assoc-acdm;12.0; Divorced; Unmarried
32; Male;7830964; Black; United-States; HS-grad;9.0; Never-married; Own-child
76; Male;2937553; White; United-States; Masters;14.0; Married-civ-spouse; Husband
44; Male;5576163; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
47; Female;2750670; White; United-States; Masters;14.0; Never-married; Not-in-family
20; Female;6953540; White; United-States; Some-college;10.0; Never-married; Own-child
29; Male;3702764; White; United-States; HS-grad;9.0; Never-married; Not-in-family
32; Male;8485808; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
17; Female;9430228; White; United-States; 10th;6.0; Never-married; Own-child
30; Male;2150898; White; United-States; 11th;7.0; Never-married; Own-child
31; Female;8715530; White; United-States; HS-grad;9.0; Never-married; Not-in-family
42; Male;6963607; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
24; Male;7955473; White; United-States; Bachelors;13.0; Never-married; Other-relative
38; Male;9122491; White; United-States; Prof-school;15.0; Married-civ-spouse; Husband
56; Male;7795266; White; Canada; HS-grad;9.0; Married-civ-spouse; Husband
28; Female;1101599; White; United-States; Some-college;10.0; Married-civ-spouse; Wife
36; Female;7918857; White; United-States; HS-grad;9.0; Never-married; Own-child
53; Male;2784612; White; United-States; 9th;5.0; Married-civ-spouse; Husband
56; Male;1079089; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
49; Male;9088761; Black; United-States; Assoc-voc;11.0; Married-civ-spouse; Husband
55; Male;9522712; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
22; Male;562858; White; United-States; HS-grad;9.0; Never-married; Not-in-family
21; Female;11517969; White; United-States; Some-college;10.0; Never-married; Own-child
40; Male;2314106; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
30; Male;7110409; Black; Germany; Bachelors;13.0; Never-married; Own-child
29; Male;9038972; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
19; Male;11266984; Black; United-States; Some-college;10.0; Never-married; Own-child
47; Female;10180188; White; United-States; Bachelors;13.0; Married-civ-spouse; Wife
20; Female;5750270; White; United-States; Some-college;10.0; Never-married; Own-child
31; Male;4579467; White; United-States; Assoc-acdm;12.0; Married-civ-spouse; Husband
35; Male;5929989; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
39; Male;640594; White; United-States; Some-college;10.0; Divorced; Not-in-family
28; Female;4178688; White; United-States; Assoc-acdm;12.0; Never-married; Not-in-family
24; Female;4839003; White; United-States; HS-grad;9.0; Never-married; Not-in-family
38; Male;6804721; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
37; Male;171518; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
46; Female;11221695; Black; United-States; Assoc-acdm;12.0; Divorced; Not-in-family
38; Male;1574884; White; Iran; Masters;14.0; Married-civ-spouse; Husband
43; Male;7794901; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
27; Female;11415454; White; United-States; Assoc-voc;11.0; Married-civ-spouse; Wife
20; Male;8553017; White; United-States; Some-college;10.0; Never-married; Own-child
49; Male;123053; Asian-Pac-Islander; United-States; Some-college;10.0; Married-civ-spouse; Husband
61; Male;10514205; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
27; Female;3017277; White; United-States; Some-college;10.0; Never-married; Own-child
19; Male;6112838; White; Mexico; Some-college;10.0; Never-married; Own-child
45; Female;1284816; White; United-States; Assoc-voc;11.0; Never-married; Not-in-family
70; Male;8226367; White; United-States; Some-college;10.0; Never-married; Other-relative
31; Female;11166508; Black; United-States; HS-grad;9.0; Never-married; Unmarried
22; Male;4058752; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
36; Female;13120625; White; United-States; HS-grad;9.0; Widowed; Unmarried
64; Male;432781; White; United-States; 11th;7.0; Married-civ-spouse; Husband
43; Female;1693770; White; United-States; Some-college;10.0; Divorced; Not-in-family
47; Female;6301281; White; Mexico; Some-college;10.0; Divorced; Unmarried
34; Female;7294280; White; United-States; HS-grad;9.0; Never-married; Not-in-family
33; Female;1699346; Asian-Pac-Islander; Philippines; Bachelors;13.0; Never-married; Other-relative
21; Male;9252607; White; United-States; HS-grad;9.0; Never-married; Own-child
52; Male;1609014; White; United-States; HS-grad;9.0; Divorced; Not-in-family
48; Male;11196802; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
23; Male;3279752; White; United-States; Bachelors;13.0; Never-married; Not-in-family
71; Male;8067651; Black; United-States; Some-college;10.0; Separated; Unmarried
29; Male;10924337; White; United-States; HS-grad;9.0; Divorced; Not-in-family
42; Male;7973591; Black; United-States; Bachelors;13.0; Separated; Other-relative
68; Female;1170366; White; United-States; 1st-4th;2.0; Divorced; Not-in-family
25; Female;639177; White; United-States; HS-grad;9.0; Never-married; Unmarried
44; Female;1856884; Asian-Pac-Islander; United-States; Masters;14.0; Divorced; Unmarried
28; Female;11856841; Asian-Pac-Islander; England; HS-grad;9.0; Never-married; Not-in-family
45; Male;8759848; White; United-States; Masters;14.0; Married-civ-spouse; Husband
36; Female;2552007; White; Mexico; Some-college;10.0; Divorced; Unmarried
39; Male;10279858; White; United-States; Assoc-acdm;12.0; Never-married; Not-in-family
46; Male;6564834; White; United-States; Masters;14.0; Widowed; Unmarried
18; Male;7029168; White; United-States; 11th;7.0; Never-married; Own-child
66; Female;14276243; White; United-States; Assoc-voc;11.0; Widowed; Not-in-family
27; Male;6599929; White; United-States; HS-grad;9.0; Never-married; Not-in-family
28; Male;9919673; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
51; Male;13429224; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
27; Male;7985528; White; United-States; Bachelors;13.0; Never-married; Not-in-family
28; Male;17414797; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
27; Female;842774; White; United-States; HS-grad;9.0; Married-spouse-absent; Unmarried
21; Male;16628110; Black; United-States; HS-grad;9.0; Never-married; Own-child
34; Male;13818312; Black; United-States; HS-grad;9.0; Never-married; Not-in-family
18; Male;6667868; White; United-States; HS-grad;9.0; Never-married; Own-child
33; Male;14159230; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
44; Male;13450096; Black; United-States; Some-college;10.0; Married-civ-spouse; Husband
43; Female;7238219; White; United-States; Some-college;10.0; Divorced; Not-in-family
30; Male;16394162; Black; United-States; Some-college;10.0; Never-married; Not-in-family
40; Male;1041119; White; Mexico; 7th-8th;4.0; Married-civ-spouse; Husband
37; Male;7197775; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
34; Male;10688732; Black; United-States; HS-grad;9.0; Married-civ-spouse; Husband
